# GENERATED FILE — DO NOT EDIT.
# Source: registry/chronology_edges.tsv (scholarly relations) + registry/sc_registry.tsv + oe_pipeline (current positions)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# Current chronology view. Edge semantics are owned by
# chronology_edges.tsv; positions are DERIVED from germanic.txt and go
# stale the moment the cascade changes; regenerate, never edit.
# Archived first-break experiments live in order_tests/chronology_cards/
# (frozen in their original experiment order space).
source_change_id	target_change_id	relation_type	direction_basis	evidence_basis	witness_role	source_cascade_position	target_cascade_position
SC014	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		3	
SC014	SC087	no_break_search_boundary	later_boundary	boundary_observation		3	90
SC015	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		15	
SC015	SC036	broad_far_chronology	later_boundary	independently_demonstrated	displacement_witness	15	39
SC016	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		96	
SC016	SC017	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	96	16
SC017	SC016	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	16	96
SC017	SC019	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	16	18
SC018	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		17	
SC018	SC087	no_break_search_boundary	later_boundary	boundary_observation		17	90
SC019	SC017	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	18	16
SC019	SC020	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	18	19
SC020	SC019	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	19	18
SC020	SC040	broad_far_chronology	later_boundary	independently_demonstrated	displacement_witness	19	79
SC022	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		23	
SC022	SC087	no_break_search_boundary	later_boundary	boundary_observation		23	90
SC023	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		24	
SC023	SC047	broad_far_chronology	later_boundary	independently_demonstrated	counterfeeding_negative	24	49
SC024	EarlyEnglishLineChanges	runner_limited_boundary	earlier_boundary	boundary_observation		5	
SC024	SC025	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	5	28
SC024	SC101	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	5	30
SC024	SC102	one_sided_chronology	later_boundary	independently_demonstrated	feeding	5	27
SC102	SC101	no_break_search_boundary	later_boundary	boundary_observation		27	30
SC025	SC004	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	28	31
SC025	SC104	technical_computational	later_boundary	technical	feeding	28	29
SC026	SC104	technical_computational	later_boundary	technical	feeding	25	29
SC103	SC104	one_sided_chronology	later_boundary	independently_demonstrated	feeding	1	29
SC103	SC028	one_sided_chronology	later_boundary	stage_entailed	feeding	1	12
SC101	SC004	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	30	31
SC101	SC056	broad_far_chronology	later_boundary	independently_demonstrated	displacement_witness	30	58
SC026	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		25	
SC026	SC027	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	25	26
SC027	SC026	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	26	25
SC027	SC087	no_break_search_boundary	later_boundary	boundary_observation		26	90
SC029	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		32	
SC029	SC030	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	32	33
SC030	SC029	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	33	32
SC030	SC032	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	33	36
SC031	PWGmcChanges	technical_computational	earlier_boundary	technical		35	
SC031	SC034	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	35	37
SC032	SC030	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	36	33
SC032	SC040	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	36	79
SC033	PWGmcChanges	technical_computational	earlier_boundary	technical		34	
SC033	SC044	broad_far_chronology	later_boundary	independently_demonstrated	displacement_witness	34	46
SC034	SC031	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	37	35
SC034	SC043	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	37	45
SC035	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		38	
SC035	SC043	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	38	45
SC036	SC019	broad_far_chronology	earlier_boundary	independently_demonstrated	displacement_witness	39	18
SC036	SC040	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	39	79
SC037	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		40	
SC037	SC038	technical_computational	later_boundary	technical		40	41
SC039	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		42	
SC039	SC040	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	42	79
SC040	SC039	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	79	42
SC040	SC072	broad_far_chronology	later_boundary	independently_demonstrated	displacement_witness	79	75
SC041	SC020	broad_far_chronology	earlier_boundary	independently_demonstrated	displacement_witness	43	19
SC041	SC046	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	43	48
SC042	SC020	one_sided_chronology	earlier_boundary	independently_demonstrated	displacement_witness	44	19
SC042	SC043	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	44	45
SC043	SC042	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	45	44
SC043	SC044	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	45	46
SC044	SC043	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	46	45
SC044	SC045	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	46	47
SC045	SC044	reciprocal_chronology	earlier_boundary	independently_demonstrated	displacement_witness	47	46
SC045	SC060	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	47	61
SC046	SC043	one_sided_chronology	earlier_boundary	independently_demonstrated	displacement_witness	48	45
SC046	SC048	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	48	50
SC047	SC034	one_sided_chronology	earlier_boundary	independently_demonstrated	displacement_witness	49	37
SC047	SC048	broad_far_chronology	later_boundary	independently_demonstrated	displacement_witness	49	50
SC048	SC047	broad_far_chronology	earlier_boundary	independently_demonstrated	displacement_witness	50	49
SC048	SC059	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	50	60
SC049	SC037	one_sided_chronology	earlier_boundary	independently_demonstrated	displacement_witness	51	40
SC049	SC087	no_break_search_boundary	later_boundary	boundary_observation		51	90
SC050	PWGmcChanges	runner_limited_boundary	earlier_boundary	boundary_observation		52	
SC050	SC052	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	52	54
SC051	SC046	one_sided_chronology	earlier_boundary	independently_demonstrated	displacement_witness	53	48
SC051	SC056	one_sided_chronology	later_boundary	independently_demonstrated	displacement_witness	53	58
SC052	SC050	one_sided_chronology	earlier_boundary	independently_demonstrated	displacement_witness	54	52
SC052	SC055	reciprocal_chronology	later_boundary	independently_demonstrated	displacement_witness	54	57
