# GENERATED FILE — DO NOT EDIT.
# Complete production Old English execution sequence (root: regex OldEnglish).
# Source: Germanic/fsts/germanic.txt; model: Germanic/tools/oe_pipeline.py;
# generator: Germanic/tools/cascade_order_manifest.py.
# cascade_position is the legacy SC position space (empty for the
# proto-input/PGmc prelude and the surface filter); exec_index is the
# complete physical order. sc_id is joined from registry/sc_registry.tsv.
exec_index	cascade_position	foma_identifier	origin_block	kind	snapshot_bin	sc_id
1		EnglishProtoInput	OldEnglishCore	named	old_english_sandbox_after_english_proto_input.bin	
2		PGmcGmSimplification	EarlyGermanicConsonantPipeline	named	old_english_sandbox_after_pgmc_gm_simplification.bin	SC002
3	1	RootNounNomZLoss	EnglishProtoToOE	named	old_english_sandbox_after_root_noun_nom_z_loss.bin	SC096
4	2	PNWGmcUnstressedAiMonophthongization	EarlyEnglishLineChanges	named	old_english_sandbox_after_pnwgmc_unstressed_ai_monophthongization.bin	SC014
5	3	PNWGmcAToUBeforeM	EarlyEnglishLineChanges	named	old_english_sandbox_after_pnwgmc_a_to_u_before_m.bin	SC005
6	4	PNWGmcLongELowering	EarlyEnglishLineChanges	named	old_english_sandbox_after_pnwgmc_long_e_lowering.bin	SC024
7	5	PWGmcEarlyIApocope	EarlyEnglishLineChanges	named	old_english_sandbox_after_pwgmc_early_i_apocope.bin	SC006
8	6	PWGmcFinalOrLowering	EarlyEnglishLineChanges	named	old_english_sandbox_after_pwgmc_final_or_lowering.bin	SC007
9	7	PWGmcCoronalWAssimilation	EarlyEnglishLineChanges	named	old_english_sandbox_after_pwgmc_coronal_w_assimilation.bin	SC008
10	8	PWGmcIjContraction	EarlyEnglishLineChanges	named	old_english_sandbox_after_pwgmc_ij_contraction.bin	SC009
11	9	PWGmcJGemination	EarlyEnglishLineChanges	named	old_english_sandbox_after_pwgmc_j_gemination.bin	SC010
12	10	PWGmcSyllabicJ	EarlyEnglishLineChanges	named	old_english_sandbox_after_pwgmc_syllabic_j.bin	SC011
13	11	EAFLThVoicing	EarlyEnglishLineChanges	named	old_english_sandbox_after_eaf_l_th_voicing.bin	SC012
14	12	PWGmcDentalHardening	EarlyEnglishLineChanges	named	old_english_sandbox_after_pwgmc_dental_hardening.bin	SC013
15	13	PNWGmcILowering	EnglishProtoToOE	named	old_english_sandbox_after_pnwgmc_i_lowering.bin	SC015
16	14	PNWGmcULowering	EnglishProtoToOE	named	old_english_sandbox_after_pnwgmc_u_lowering.bin	SC017
17	15	PNWGmcStressedMonosyllableORaising	EnglishProtoToOE	named	old_english_sandbox_after_pnwgmc_stressed_monosyllable_o_raising.bin	SC018
18	16	PNWGmcFinalLongORaising	EnglishProtoToOE	named	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	SC019
19	17	EAFFinalZDeletion	EnglishProtoToOE	named	old_english_sandbox_after_eaf_final_z_deletion.bin	SC020
20	18	PWGmcUnstressedWordFinalIApocope	EnglishProtoToOE	named	old_english_sandbox_after_pwgmc_unstressed_word_final_i_apocope.bin	SC098
21	19	MonosyllabicFinalZLoss	EnglishProtoToOE	named	old_english_sandbox_after_monosyllabic_final_z_loss.bin	SC097
22	20	EAFRhotacism	EnglishProtoToOE	named	old_english_sandbox_after_eaf_rhotacism.bin	SC003
23	21	PNWGmcMnDissimilation	EnglishProtoToOE	named	old_english_sandbox_after_pnwgmc_mn_dissimilation.bin	SC022
24	22	PNWGmcNStemNLoss	EnglishProtoToOE	named	old_english_sandbox_after_pnwgmc_n_stem_n_loss.bin	SC023
25	23	PGmcNasalLossBeforeX	EnglishProtoToOE	named	old_english_sandbox_after_pgmc_nasal_loss_before_x.bin	SC103
